region,location_id,species_avg,micro_avg
,137690,,1.820322
,136609,,1.808096
,144319,,1.801
,141074,,1.799987
,61020,,1.796407
,141005,,1.794728
,139350,,1.79035
,158388,,1.79
,132332,,1.788169
,140503,,1.784
,135773,,1.771433
,133350,,1.764996
,141528,,1.743582
,134983,,1.74051
,138375,,1.740337
,137691,,1.735337
,136696,,1.708537
,142605,,1.707602
,176124,,1.702128
,188074,,1.7
,139313,,1.698375
,136092,,1.696222
,135010,,1.695865
,141034,,1.692872
,132581,,1.692349
,136090,,1.688752
,142600,,1.686723
,158400,,1.685
,54931,,1.684795
,87214,,1.68
,138324,,1.674866
,138363,,1.674705
,136052,,1.674043
,131837,,1.671019
,128150,,1.662539
,132359,,1.655169
,134318,,1.65324
,132438,,1.652923
,56228,,1.649428
,138382,,1.644937
,56224,,1.64305
,139393,,1.635606
,139396,,1.626228
,140990,,1.616302
,143143,,1.611358
,131833,,1.610358
,158407,,1.61
,143086,,1.602424
,143159,,1.597692
,137167,,1.59384
,158377,,1.59
,53543,,1.586574
,142573,,1.583207
,139889,,1.582836
,139879,,1.582826
,140495,,1.582
,138397,,1.578948
,143648,,1.578621
,142077,,1.574961
,139201,,1.573654
,136617,,1.571052
,137876,,1.567788
,128049,,1.566289
,143081,,1.563969
,134465,,1.559172
,131260,,1.558805
,56859,,1.554421
,143104,,1.550254
,132396,,1.549515
,141015,,1.546751
,138449,,1.537
,143644,,1.531306
,139905,,1.527513
,129644,,1.5235
,140517,,1.522606
,143664,,1.511378
,140483,,1.51
,188945,,1.5
,91210,,1.5
,96521,,1.5
,188075,,1.5
,67416,,1.5
,150646,,1.5
,65716,,1.5
,154675,,1.5
,78358,,1.5
,131067,,1.481866
,133830,,1.481736
,132427,,1.478848
,139260,,1.476141
,131787,,1.471346
,136026,,1.468767
,134158,,1.455276
,139911,,1.452
,145374,,1.450724
,142626,,1.448937
,130967,,1.4459
,138385,,1.4442
,142590,,1.435495
,129483,,1.434491
,59268,,1.427592
,140478,,1.427
,135002,,1.421261
,129512,,1.415723
,129529,,1.415722
,141036,,1.411702
,138502,,1.408369
,139377,,1.407189
,139347,,1.401489
,158379,,1.4
,128735,,1.394636
,132448,,1.393601
,139320,,1.393483
,138389,,1.389757
,140530,,1.387017
,136635,,1.386953
,132431,,1.382889
,144237,,1.378056
,59849,,1.377297
,136074,,1.377096
,129408,,1.37327
,135203,,1.36212
,132465,,1.348287
,132424,,1.33967
,136089,,1.336759
,133957,,1.333847
,137247,,1.332058
,158725,,1.33
,129388,,1.32478
,132439,,1.321474
,134091,,1.31768
,129635,,1.316889
,145334,,1.315256
,139289,,1.314
,54907,,1.311559
,141571,,1.309742
,137706,,1.305863
,137824,,1.303
,147052,,1.297126
,138369,,1.295791
,66278,,1.286257
,137714,,1.285492
,131810,,1.277268
,142609,,1.271783
,129370,,1.264402
,143745,,1.258641
,146949,,1.250812
,142046,,1.234553
,145362,,1.232119
,120512,,1.23
,138384,,1.222912
,131731,,1.21843
,139935,,1.20877
,137885,,1.203
,137818,,1.201
,131794,,1.189007
,144289,,1.18797
,60437,,1.181115
,143667,,1.176606
,131732,,1.175749
,143120,,1.17109
,142584,,1.17056
,138414,,1.167266
,139315,,1.166769
,147584,,1.162565
,148148,,1.161321
,137215,,1.159447
,141009,,1.159275
,54928,,1.158296
,142050,,1.154449
,148753,,1.153792
,143082,,1.148941
,132425,,1.146122
,136573,,1.142851
,54220,,1.141893
,121820,,1.138242
,137837,,1.137
,130934,,1.125328
,57471,,1.120932
,137152,,1.120481
,128156,,1.114427
,158381,,1.11
,143669,,1.106487
,126703,,1.106
,132420,,1.102814
,143093,,1.100274
,63980,,1.095319
,135247,,1.093829
,137204,,1.090723
,140408,,1.090297
,153608,,1.090147
,59852,,1.084698
,142057,,1.083789
,136564,,1.07848
,136703,,1.064675
,61593,,1.0638565
,136051,,1.05689
,143077,,1.0534
,140524,,1.051438
,145324,,1.048821
,141046,,1.041967
,138418,,1.039201
,134976,,1.033613
,137160,,1.031906
,54240,,1.03176
,144228,,1.030352
,148221,,1.028671
,139368,,1.02716
,145376,,1.027045
,140492,,1.027
,144249,,1.025428
,123496,,1.022849
,91795,,1.02
,94139,,1.02
,139227,,1.018862
,143101,,1.018793
,123499,,1.015313
,131236,,1.009762
,125348,,1.009209
,125356,,1.009204
,144287,,1.00869
,142596,,1.007811
,137237,,1.00189
,134317,,1.000613
,188949,,1.0
,125355,,1.0
,127356,,1.0
,137141,,1.0
,188072,,1.0
,137727,,1.0
,122918,,1.0
,189440,,1.0
,144816,,1.0
,120517,,1.0
,188076,,1.0
,101269,,1.0
,151420,,1.0
,152397,,1.0
,154319,,1.0
,92966,,1.0
,110335,,1.0
,190957,,1.0
,117249,,1.0
,186141,,1.0
,182129,,1.0
,119235,,1.0
,100683,,1.0
,74302,,1.0
,183328,,1.0
,188946,,1.0
,183326,,1.0
,183325,,1.0
,186139,,1.0
,82534,,1.0
,188522,,1.0
,186586,,1.0
,132470,,0.995046
,119854,,0.992036
,144288,,0.989921
,54239,,0.988557
,138411,,0.987654
,62751,,0.9867445
,132440,,0.983232
,138421,,0.977401
,55578,,0.976803
,120508,,0.97
,141023,,0.967468
,131821,,0.963329
,140490,,0.96
,63370,,0.9592824999999999
,131737,,0.954332
,139896,,0.953208
,132410,,0.951916
,139343,,0.945924
,137809,,0.945
,128164,,0.94372
,132418,,0.942509
,147015,,0.941444
,132394,,0.938901
,138413,,0.936173
,132414,,0.934591
,128064,,0.934387
,140485,,0.933
,140418,,0.930044
,158387,,0.93
,62174,,0.929115
,131762,,0.925087
,145309,,0.92334
,132442,,0.918348
,132377,,0.915869
,132449,,0.914308
,138390,,0.91359
,141578,,0.910641
,158385,,0.91
,141574,,0.9099
,132426,,0.907112
,144257,,0.900901
,189441,,0.9
,185685,,0.9
,186584,,0.9
,120506,,0.9
,123509,,0.9
,130968,,0.897587
,134999,,0.897001
,137827,,0.894613
,142074,,0.894086
,132441,,0.89138
,127588,,0.887413
,138410,,0.887341
,95327,,0.88
,65132,,0.876022
,147556,,0.874216
,142087,,0.870983
,132413,,0.86557
,147619,,0.865162
,132445,,0.864578
,145341,,0.863263
,132430,,0.857739
,141561,,0.857074
,146938,,0.856102
,139323,,0.855302
,54217,,0.854786
,61019,,0.8545185
,126107,,0.848419
,133615,,0.847522
,144240,,0.844273
,131145,,0.843368
,134221,,0.840274
,132443,,0.838474
,137867,,0.837
,132348,,0.836267
,140486,,0.83
,132453,,0.82854
,131880,,0.827634
,141534,,0.824934
,137875,,0.823753
,136077,,0.823753
,132450,,0.81936
,103064,,0.817722
,139934,,0.816799
,61596,,0.814427
,131720,,0.81151
,134493,,0.810466
,139193,,0.809166
,144272,,0.808203
,143726,,0.801442
,92374,,0.8
,158397,,0.8
,132471,,0.79943
,61017,,0.79937
,137816,,0.798
,137230,,0.795527
,132444,,0.795394
,126707,,0.791407
,147576,,0.789479
,129561,,0.788529
,131812,,0.788452
,132464,,0.784123
,56207,,0.782976
,144244,,0.782937
,92958,,0.78
,139944,,0.775949
,137822,,0.767
,141073,,0.766243
,145298,,0.764954
,137244,,0.758546
,137171,,0.757866
,56209,,0.756299
,141559,,0.753836
,143139,,0.750804
,132419,,0.749445
,147008,,0.743711
,132432,,0.741419
,158380,,0.74
,142627,,0.739937
,125307,,0.7358146666666656
,131080,,0.735177
,65714,,0.732867
,91797,,0.73
,128719,,0.729317
,128753,,0.726409
,139383,,0.725397
,128720,,0.719813
,129528,,0.718984
,128052,,0.717462
,137187,,0.716268
,122399,,0.712725
,158383,,0.71
,136704,,0.707951
,139930,,0.705246
,140523,,0.703392
,92959,,0.7
,158382,,0.7
,158405,,0.7
,145339,,0.699219
,126086,,0.698
,143137,,0.696373
,143728,,0.696373
,62759,,0.69562
,144854,,0.695597
,53527,,0.693518
,125331,,0.692863
,125342,,0.692854
,144200,,0.691
,56852,,0.689868
,56233,,0.687988
,141538,,0.68775
,131770,,0.682223
,61015,,0.679045
,142040,,0.678457
,103054,,0.678005
,56231,,0.677092
,141555,,0.676039
,53528,,0.673608
,141025,,0.66966
,63330,,0.669648
,63371,,0.668826
,140980,,0.665633
,137848,,0.662175
,91208,,0.66
,128864,,0.654547
,137833,,0.654493
,128725,,0.6541
,142049,,0.651202
,142045,,0.650244
,95923,,0.65
,92377,,0.65
,166343,,0.649773
,131111,,0.64902
,140515,,0.646543
,126779,,0.645052
,74297,,0.644222
,145840,,0.642699
,139919,,0.641622
,147019,,0.640253
,121114,,0.640223
,131836,,0.639515
,132412,,0.636328
,128194,,0.63396
,128245,,0.633044
,119204,,0.631646
,92375,,0.63
,95922,,0.63
,141016,,0.628887
,132360,,0.627746
,139839,,0.627065
,55580,,0.623436
,128230,,0.622319
,95326,,0.62
,126044,,0.62
,118531,,0.617719
,128785,,0.616756
,139391,,0.613721
,95328,,0.61
,91796,,0.61
,131228,,0.607613
,140414,,0.605422
,66281,,0.604966
,58080,,0.604671
,146936,,0.603952
,139844,,0.602067
,137219,,0.600369
,135230,,0.600285
,158402,,0.6
,124084,,0.6
,93545,,0.6
,137201,,0.591976
,123502,,0.591322
,92376,,0.59
,139946,,0.589552
,55579,,0.587665
,139346,,0.585087
,141010,,0.583664
,149528,,0.580413
,149538,,0.580413
,56851,,0.5784119999999999
,54908,,0.577445
,140481,,0.576
,73138,,0.575242
,149546,,0.574347
,149549,,0.574342
,120507,,0.57
,147614,,0.565339
,142631,,0.563965
,134992,,0.561627
,140405,,0.560793
,126045,,0.56
,138336,,0.559632
,140448,,0.558433
,140987,,0.558239
,144860,,0.556656
,142055,,0.551901
,144217,,0.551471
,147113,,0.549051
,129902,,0.546338
,139355,,0.544286
,131822,,0.543882
,60438,,0.5412695
,95921,,0.54
,93543,,0.54
,147089,,0.539575
,145312,,0.535475
,42366,,0.53139
,131719,,0.530791
,94726,,0.53
,158396,,0.53
,140466,,0.528724
,56854,,0.528047
,61603,,0.527869
,137893,,0.52549
,139344,,0.523041
,144198,,0.521318
,140494,,0.521
,97113,,0.52
,131211,,0.517986
,143138,,0.515413
,142061,,0.514966
,137196,,0.514732
,143087,,0.513742
,142569,,0.51324
